Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
A VOGEL MILK THISTLE TABLETS 60s,60,9696188,7.61031E+12,24,2.53,Green,True,ARD-31
A VOGEL PASSIFLORA,50ML,9967514,7.61031E+12,37,37.0,Green,False,ARJ-63
A VOGEL PHYTOESTROGEN PMS TABS,60,8844672,7.61031E+12,18,72.0,Green,False,AQV-71
A VOGEL PMS RELIEF AGNUS CASTUS 50ML ,50ML,9863606,7.61031E+12,16,16.0,Green,False,ASP-63
A VOGEL POLLINOSAN  (ALLERGY) TABS,120,9487984,7.61031E+12,10,10.0,Green,False,AQU-72
A VOGEL PROSTASAN CAPSULES,30S,9487992,7.61031E+12,14,18.67,Green,False,ART-51
A VOGEL SLEEPWELL,14,8833287,7.61031E+12,28,37.33,Green,False,ARV-73
A&amp;F AUTHENTIC FOR WOMEN 100ML,100ML,9917626,85715166517,1,1.0,Green,False,BAK3
A&amp;F AUTHENTIC FOR WOMEN 50ML,50ML,9917618,85715166524,1,1.0,Green,False,BAJ3
A.SOLAIRE AFTERSUN HYDRATE TAN MAINTAINER,200ML,485714,3.60054E+12,85,56.67,Green,True,BBG-04
A.SOLAIRE AFTERSUN HYDRATING LOTION SOOTHER 400ML,400ML,8815102,3.60054E+12,0,0.0,Red,True,BBJ-03
A.SOLAIRE AFTERSUN SKIN SOOTHER,200ML,395129,3.60054E+12,14,4.67,Green,True,BBE-06
A.SOLAIRE ANTI-AGE SUPER UV FACE PROTECTION CREAM SPF50,50ML,8736431,3.60054E+12,14,7.0,Green,True,BBK-02
A.SOLAIRE BABY SENSTIVE ADVANCE HYPOALLERGENIC SUN CREAM SPF50+ ULTRA ,50ML,9706987,3.60054E+12,40,5.33,Green,True,BBN-03
A.SOLAIRE DRY MIST SPRAY SPF30,200ML,9706953,3.60054E+12,0,0.0,Red,True,BBO-02
A.SOLAIRE HYDRA 24HR PROTECT SPF50+ LOTION + VITAMIN C,175ML,8793937,3.60054E+12,22,3.14,Green,True,BBD-03
A.SOLAIRE INVISIBLE PROTECT  IDEAL BRONZE SPRAY SPF30 ,150ML,8787772,3.60054E+12,4,0.8,Amber,True,BBO-02
A.SOLAIRE INVISIBLE PROTECT CLEAR FINISH SPF30 SPRAY,150ML,8847766,3.60054E+12,14,2.8,Green,False,BBJ-05
A.SOLAIRE INVISIBLE PROTECT SPF30 WITH ALOE VERA,150ML,8846594,3.60054E+12,28,14.0,Green,False,BBQ-06
A.SOLAIRE INVISIBLE PROTECTION GLOW SPRAY SPF30 150ML,150ML,8736464,3.60054E+12,0,0.0,Red,True,BBJ-04
A.SOLAIRE KIDS ANTISAND PROTECTION MIST SPRAY SPF50,200ML,9783721,3.60054E+12,2,0.2,Amber,True,BBB-01
A.SOLAIRE KIDS MILK SPF50+***,200ML,9465055,3.60054E+12,1,2.0,Green,False,BBP-03
A.SOLAIRE KIDS SUN CREAM SPF50 150ML - NEMO EDITION ,150ML,8736456,3.60054E+12,44,8.0,Green,False,BBJ-02
A.SOLAIRE MILK SENSITIVE KIDS SPF50+ TUBE,175ML,9737586,3.60054E+12,52,8.67,Green,True,BBP-03
A.SOLAIRE MILK ULTRA-HYDRATING SUN CREAM + VITAMIN C SPF30 200ML,175ML,9407271,3.60054E+12,9,1.16,Green,True,BBC-04
A.SOLAIRE NATURAL BRONZER SELF TAN INTENSE CLEAR MOUSSE,200ML,8780025,3.60054E+12,74,74.0,Green,False,AHV-G7
A.SOLAIRE NEW HYDRA 24H PROTECT MILK - SPF20 + VITAMIN C ,175ML,8847758,3.60054E+12,50,100.0,Green,False,BBK-05
A.SOLAIRE NEW INVISIBLE PROTECT REFRESH SPF50 ,200ML,8780199,3.60054E+12,0,0.0,Red,True,BBN-04
