Product Name,Pack,Code,Trade,Stock Level,Stock Value,Supplied Qty,Avg Supplied Qty Per Week,Avg Supplied Value Per Week,Weeks of Stock (supplied),Supplied Inventory Ratio
CARBIMAZOLE TABLETS 10MG,100,1224666,39,23,897,4,1,39,23,0.16
CARBIMAZOLE TABLETS 20MG,100,1182294,1.37,44,60.28,11,2.75,3.76,16,0.22
CARBIMAZOLE TABLETS 5MG,100,1182302,2.6,279,725.4,71,17.75,46.15,15.72,0.23
CARBOCISTEINE CAPS 375MG,120,1161249,2.2,1419,3121.8,927,231.75,563.97,6.12,0.54
CARBOCISTEINE SYR 250MG/5ML,300,1220078,4.1,89,364.9,116,29,115.26,3.07,1
CARBOFLEX STER NON-ADH DRESS 8x15,5,2527372,11.46,0,0,0,0,0,0,0
CARBOMER GEL 10GM,1,5013727,0.85,3186,2708.1,274,68.5,58.22,46.51,0.15
CARDIOPLEN XL 10MG TABLETS,28,2991818,4.5,34,153,50,12.5,56.25,2.72,0.85
CARDIOPLEN XL 2.5MG TABLETS,28,2991826,5.45,251,1367.95,64,16,87.2,15.69,0.44
CARDIOPLEN XL 5MG TABLETS,28,2991834,3.65,423,1543.95,104,26,94.72,16.27,0.47
CARDURA XL 4MG TABLETS,28,2763951,4.49,0,0,0,0,0,0,0
CARDURA XL 8MG TABLETS(PF),28,2764371,7.9,0,0,79,19.75,156.02,0,4.79
CARE ACETONE,50ml,1032168,1.33,156,207.48,90,22.5,29.92,6.93,1.11
CARE AQUEOUS CALAMINE CREAM 100G,100G,3722428,1.75,3,5.25,83,20.75,36.31,0.14,2.18
CARE CALAMINE LOTION 200ML,200ML,266874,1.38,132,182.16,125,31.25,43.12,4.22,0.93
CARE CLOTRIMAZOLE 1% CREAM 20G (P),20G,2533099,0.79,340,268.6,365,91.25,72.08,3.73,1.71
CARE CLOVE OIL BP,10ml,1032044,1.82,132,240.24,101,25.25,45.95,5.23,1.17
CARE CYSTITIS RELIEF 4G SACHETS,6,2652873,2.69,96,258.24,102,25.5,68.59,3.76,1.48
CARE DECONGESTANT TABLETS (P),12,3476421,1.78,487,866.86,438,109.5,194.23,4.45,1.19
CARE DICLOFENAC 2.32%,100g,4349247,5.37,54,289.98,0,0,0,54,0
CARE GLYCERIN LEMON &amp; HONEY LINCTUS,200ml,768804,1.82,12,21.84,90,22.5,40.95,0.53,2.73
CARE GLYCERIN SUPPOSITORIES ADULT,12,1001023,1.82,90,163.8,93,23.25,42.31,3.87,2
CARE GLYCERIN SUPPOSITORIES CHILD,12,1021351,1.54,75,115.5,15,3.75,5.77,20,0.4
CARE HEARTBURN RELIEF ORAL SUSP,500ML,4263646,3.77,69,260.13,12,3,11.31,23,0.31
CARE IBUPROFEN 200MG TABLETS (P),48,1077601,1.36,6,8.16,63,15.75,21.42,0.38,1.83
CARE IBUPROFEN 400MG TABLETS (P),48,1077593,1.99,206,409.94,274,68.5,136.31,3.01,2.66
CARE IBUPROFEN GEL 5% 100GM,100g,3614849,0.96,0,0,61,15.25,14.64,0,2.14
CARE IBUPROFEN GEL 5% 50G,50 g,9912528,0.68,78,53.04,102,25.5,17.34,3.06,2.62
CARE MAGNESIUM SULPHATE PASTE,50G,1047877,2.55,0,0,111,27.75,70.76,0,2
CARE NIGHT COLD &amp; FLU RELIEF 200ML,200ML,4192811,3.5,0,0,19,4.75,16.62,0,2
CARE OLIVE OIL EAR DROPS,10ml,9884750,0.96,0,0,0,0,0,0,0
CARE SAMARITAN OLIVE OIL 92ML,1,248435,1.52,0,0,3,0.75,1.14,0,0
CARE SENNA TABLETS 20s,20s,1085216,1.26,18,22.68,30,7.5,9.45,2.4,2
CARE SIMPLE LINCTUS PAEDIATRIC S/F,200ML,3695822,1.4,40,56,24,6,8.4,6.67,0.46
CARE SIMPLE LINCTUS S/F,200ML,3614062,1.33,72,95.76,48,12,15.96,6,1.33
CARE SURGICAL SPIRIT,200ML,1031277,1.37,0,0,0,0,0,0,0
CARE WITCH HAZEL 200ML,200ML,1031475,1.73,1,1.73,80,20,34.6,0.05,1.95
CAREFREE LINERS BREATHE ALOE 20S,20,3152162,0.74,0,0,300,75,55.5,0,4.17
CAREFREE LINERS BREATHE LINEN FRESH 20S,20,2123917,0.74,18,13.32,258,64.5,47.73,0.28,3.19
CAREFREE LINERS BREATHE UNSCENTED NORMAL 20 (1FW),20,367631,0.74,150,111,246,61.5,45.51,2.44,1.61
CAREWAY TUBULAR BANDAGE,1,8843930,1.02,0,0,3,0.75,0.76,0,2
CAREX HANDWASH ALOE VERA 250ML,250ML,9537408,0.67,133,89.11,186,46.5,31.15,2.86,0.86
CAREX HANDWASH MOISTURE PLUS 250ML,250ML,2893592,0.67,0,0,300,75,50.25,0,2.08
CAREX HANDWASH ORGINAL ECO REFILLS 500ML,500ML,8757981,1.06,21,22.26,36,9,9.54,2.33,0.97
CAREX HANDWASH ORIGINAL 250ML,250ML,9537416,0.67,36,24.12,276,69,46.23,0.52,1.7
CAREX HANDWASH PEONY AND BLOSSOM 250ML,250ML,8811853,0.67,114,76.38,180,45,30.15,2.53,0.88
CAREX HANDWASH SENSITIVE 250ML,250ML,9782822,0.67,156,104.52,198,49.5,33.16,3.15,0.8
CAREX HANDWASH THE GRUFFALO FOREST FRUITS 250ML,250ML,8811846,0.67,0,0,108,27,18.09,0,12
CAREX SHOWER &amp; BATH MOIST PLUS 500ML,500ML,9486416,0.87,0,0,0,0,0,0,0
CAREX SHOWER &amp; BATH ORIGINAL 500ML,500ML,9486424,0.87,90,78.3,72,18,15.66,5,1.14
CAREX SHOWER &amp; BATH SENSITIVE 500ML,500ML,8841751,0.87,30,26.1,30,7.5,6.52,4,1.43
CARMELLOSE EYE DROPS 0.5%,30,1173723,3.2,19,60.8,72,18,57.6,1.06,1.32
CARMELLOSE EYE DROPS 1%,30,1176957,1.99,178,354.22,100,25,49.75,7.12,0.45
CARMEN 1800W LIGHTWEIGHT HAIR DRYER (E24),C81123,8763310,8.5,0,0,0,0,0,0,0
CARMEN 2-IN-1 VANITY CASE WHITE/PINK (E23),C81167,8764110,13.33,13,173.29,0,0,0,13,0
CARMEN FULL SIZE HEATED UNDER BLANKET DOUBLE (E24),81196,8798324,17.5,16,280,0,0,0,16,0
CARMEN FULL SIZE HEATED UNDER BLANKET KINGS SIZE (E24),81197,8798332,19.95,22,438.9,0,0,0,22,0
CARMEN FULL SIZE HEATED UNDER BLANKET SINGLE (E24),81195,8798316,13.33,23,306.59,0,0,0,23,0
CARMEN HEATED WEARABLE BLANKET (E24),81149,8798340,32.95,0,0,0,0,0,0,0
CARMEN ILLUMINATED COSMETIC MIRROR (E24),81117,8798373,12.95,0,0,1,0.25,3.23,0,2
CARMEN LED HOLLYWOOD MIRROR (E22),C81097,9915901,12.49,1,12.49,0,0,0,1,0
CARMEN LED THREE PANEL MIRROR (E24),85030N,8798274,10.95,0,0,0,0,0,0,0
CARMEN MASSAGING FOOT SPA (E24),CARC84001N,8826752,19.99,0,0,0,0,0,0,0
CARMEN NECK MASSAGER &amp; EYE MASK (E24),CARC81226,8826745,8.66,0,0,0,0,0,0,0
CARMEN NOIR II STRAIGHTENER (E24),81054COP,8798258,9.99,0,0,0,0,0,0,0
CARMEN SIGNATURE SERIES CORDED HAIR CLIPPER (E24),C81138,8826760,7.95,0,0,0,0,0,0,0
CARMEN TWILIGHT 25ML CURLING TONG KERATIN BLUE (E23),81060BC,8798233,9.99,0,0,0,0,0,0,0
CARMEN TWILIGHT DC PRO COMPACT 1800W HAIRDRYER WITH MIRROR (E22),C81065BC,8721961,10.95,0,0,0,0,0,0,0
CARMEX LIP TUBE SPF15 10G CHERRY,10G,9947433,1.53,60,91.8,36,9,13.77,6.67,0.46
CARMEX LIP TUBE SPF15 10G STRAWBERRY,10G,8743726,1.52,102,155.04,12,3,4.56,34,0.11
CARMEX ORIGINAL STICK 4.25G SPF15,7.5 g,481465,1.33,0,0,0,0,0,0,0
CARMEX STRAWBERRY STICK 4.25G SPF15,7.5 g,8843450,1.52,15,22.8,9,2.25,3.42,6.67,0.46
CARNATION BUNION RELIEF OVAL PADS,1,43117,1.01,125,126.25,15,3.75,3.78,33.33,0.13
CARNATION CHIROPODY FELT LARGE,1,2847358,2.02,11,22.22,24,6,12.12,1.83,1.04
CARNATION CORN CAPS - 10 (PACK),10,2168102,1.97,150,295.5,64,16,31.52,9.38,0.35
CARNATION CORN PADS OVAL FELT,9,43174,0.79,34,26.86,21,5.25,4.14,6.48,0.47
CARNATION CORN PADS ROUND FELT,5,2110377,0.87,30,26.1,12,3,2.61,10,0.33
CARNATION CORN SHIELDS,3,9597246,1.53,18,27.54,39,9.75,14.91,1.85,1.04
CARNATION CUSHION COMFORT INSOLES,1,2781888,1.06,74,78.44,10,2.5,2.65,29.6,0.13
CARNATION FINGER &amp; TOE BANDAGE 4M,1,2964872,2.31,6,13.86,0,0,0,6,0
CARNATION GEL CARE TOE SEPARATOR,1,2627503,1.49,30,44.7,2,0.5,0.74,60,0.06
CARNATION SPRAY PLASTER,50ML,8716987,1.5,2,3,22,5.5,8.25,0.36,1.76
CARNATION TOE PROTECTOR,2,3864469,1.77,0,0,17,4.25,7.52,0,2
CARNATION TOFOAM,2,2627461,1.38,48,66.24,21,5.25,7.24,9.14,0.36
CAROLINA HERRERA GOOD GIRL - LEG ELIXIR***,200ML,9867375,23.56,0,0,0,0,0,0,0
CAROLINA HERRERA GOOD GIRL 30ML EDP,30ML,9867334,35.08,0,0,3,0.75,26.31,0,0
CAROLINA HERRERA GOOD GIRL 50ML EDP,50ML,9867342,51.31,0,0,4,1,51.31,0,4
CAROLINA HERRERA GOOD GIRL 80ML EDP ,80ML,8808313,65.97,0,0,2,0.5,32.98,0,0
CAROLINA HERRERA GOOD GIRL BLUSH 30ML EDP,30ML,8769960,39.27,1,39.27,3,0.75,29.45,1.33,6
CAROLINA HERRERA GOOD GIRL BLUSH 50ML EDP,50ML,8769978,56.54,0,0,1,0.25,14.13,0,0
CAROLINA HERRERA GOOD GIRL BLUSH 80ML EDP,80ML,8769986,71.2,0,0,0,0,0,0,0
CAROLINA HERRERA GOOD GIRL BLUSH ELIXIR 30ML EDP,30ML,8807901,40.84,3,122.52,0,0,0,3,0
CAROLINA HERRERA GOOD GIRL BLUSH ELIXIR 50ML EDP,50ML,8807919,59.16,3,177.48,3,0.75,44.37,4,2
CAROLINA HERRERA GOOD GIRL BLUSH ELIXIR 80ML EDP,80ML,8807927,74.87,0,0,0,0,0,0,0
CAROLINA HERRERA GOOD GIRL HAIR MIST 30ML,30ML,8717365,23.04,0,0,0,0,0,0,0
CAROLINA HERRERA GOOD GIRL LEGERE 80ML EDP,80ML,9899931,53.4,0,0,0,0,0,0,0
CAROLINA HERRERA GOOD GIRL SHOWER GEL,200ML,9867367,19.37,9,174.33,0,0,0,9,0
CAROLINA HERRERA LA BOMBA 200ML REFILL,200ML,9570193,93.72,0,0,0,0,0,0,0
CAROLINA HERRERA LA BOMBA 30ML EDP,30ML,9616962,35.08,0,0,0,0,0,0,0
CAROLINA HERRERA LA BOMBA 50ML EDP,50ML,9473455,51.31,0,0,0,0,0,0,0
CAROLINA HERRERA LA BOMBA 80ML EDP,80ML,9510082,65.97,0,0,0,0,0,0,0
CAROLINA HERRERA LA BOMBA BODY CREAM 200ML,200ML,9539016,24.61,0,0,0,0,0,0,0
CAROLINA HERRERA LA BOMBA SHIMMERING BODY OIL 150ML,200ML,9539024,24.61,0,0,0,0,0,0,0
CAROLINA HERRERA VERY GOOD GIRL EDP 30ML ,30ML,8777377,37.7,0,0,2,0.5,18.85,0,2
CAROLINA HERRERA VERY GOOD GIRL EDP 50ML -  (NEW CODE),50ML,8809238,54.45,0,0,0,0,0,0,0
CAROLINA HERRERA VERY GOOD GIRL EDP 80ML,80ML,8686636,71.2,0,0,0,0,0,0,0
CAROLINA HERRERA VERY GOOD GIRL ELIXIR 30ML EDP,30ML,8840241,40.84,12,490.08,0,0,0,12,0
CAROLINA HERRERA VERY GOOD GIRL ELIXIR 50ML EDP,50ML,8840258,59.16,0,0,0,0,0,0,0
CAROLINA HERRERA VERY GOOD GIRL ELIXIR 80ML EDP,80ML,8840266,75.92,0,0,1,0.25,18.98,0,2
CAROLINA HERRERA VERY GOOD GIRL GLAM 30ML PARFUM,30ML,8753014,39.27,0,0,0,0,0,0,0
CAROLINA HERRERA VERY GOOD GIRL GLAM 50ML PARFUM,50ML,8753022,57.07,0,0,0,0,0,0,0
CAROLINA HERRERA VERY GOOD GIRL GLAM 80ML PARFUM,80ML,8753030,74.87,0,0,0,0,0,0,0
CAROLINE HERRERA GOOD GIRL LEGERE NS 50ML EDP,50ML,9899923,40.84,0,0,1,0.25,10.21,0,2
CARVEDILOL 12.5MG TABLETS,28,1113018,0.6,145,87,90,22.5,13.45,6.44,0.61
CARVEDILOL 25MG TABLETS,28,1113026,0.65,70,45.5,29,7.25,4.68,9.66,0.42
CARVEDILOL 3.125MG TABLETS,28,1112994,0.3,131,39.3,74,18.5,5.63,7.08,0.51
CARVEDILOL 6.25MG TABLETS,28,1113000,0.64,82,52.48,77,19.25,12.32,4.26,0.64
CASTING CREME CHAT DARK BROWN 400,400,3230380,4.67,0,0,30,7.5,35.02,0,0
CASTING CREME CHOCOLATE 535,535,9490186,4.67,0,0,33,8.25,38.52,0,0
CASTING CREME DARKEST BROWN 300,300,8801045,4.67,0,0,15,3.75,17.51,0,0
CASTING CREME LIGHT BROWN 600,600,3230430,4.67,0,0,9,2.25,10.5,0,0
CASTING CREME MARRON GLACE 415 CHOC,415,3230414,4.67,0,0,24,6,28.02,0,0
CASTING CREME MEDIUM BROWN 500,500,9713710,4.67,0,0,24,6,28.02,0,0
CASTING CREME PRUNE 316,316,3230489,4.67,0,0,15,3.75,17.51,0,0
CAVILON DURABLE BARR CR 28GM 3391G,1,3017480,2.97,143,424.71,7,1.75,5.19,81.71,0.1
CAVILON N/STING BARR FILM 28ML 3346P,1,2528966,4.97,0,0,0,0,0,0,0
CAVILON NO STING BARR FILM 1ML 3343P,1,2528941,3.6,107,385.2,33,8.25,29.7,12.97,0.27
CAVILON NO STING BARR FILM 3ML 3345P,1,2528958,5.75,54,310.5,15,3.75,21.56,14.4,0.29
CAVILON STOMA WIPE 3344P,30,3175692,18.2,7,127.4,0,0,0,7,0
CAVILON T'PEUTIC BARR CR 92GM 3392G,1,2771079,5.5,1579,8684.5,968,242,1247.13,6.52,0.82
CEFALEXIN 125MG/5ML SUSPENSION,100,1226752,3.55,67,237.85,44,11,39.05,6.09,0.51
CEFALEXIN 250MG CAPSULES,28,1084235,1.55,949,1470.95,109,27.25,42.23,34.83,0.11
CEFALEXIN 250MG TABLETS,28,1084250,1.6,125,200,82,20.5,32.8,6.1,0.5
CEFALEXIN 500MG CAPSULES,21,1084243,1.8,1443,2597.4,245,61.25,110.25,23.56,0.16
CEFALEXIN 500MG TABLETS,21,1084268,2.42,38,91.96,29,7.25,17.54,5.24,0.55
CEFALEXIN SYRUP 250MG/5ML,100,1226927,3.34,62,207.08,35,8.75,29.22,7.09,0.45
CEFRADINE 250MG CAPSULES,20,1095769,9.8,6,58.8,4,1,9.8,6,0.5
CEFUROXIME TABLETS 250MG,14,1124544,8.82,9,79.38,0,0,0,9,0
CELEBREX 100MG CAPSULES,60,2693752,3.5,0,0,0,0,0,0,0
CELEBREX 200MG CAPSULES,30,2697357,2.35,0,0,0,0,0,0,0
CELECOXIB CAPSULES 100MG,60,1244540,1.55,339,525.45,204,51,79.67,6.65,0.86
CELECOXIB CAPSULES 200MG,30,1206481,1.55,556,861.8,219,54.75,86.7,10.16,0.48
CELESTIAL BLUE LED TREE LIGHT DECORATION (C24),XM10755,8795023,5.85,4,23.4,0,0,0,4,0
CELIPROLOL 200MG TABLETS,28,1081090,6.5,141,916.5,8,2,13,70.5,0.06
CELIPROLOL 400MG TABLETS,28,1081108,31.39,3,94.17,7,1.75,54.93,1.71,1.08
CELLCEPT 1G/5ML ORAL SUSPENSION 110G,1,2859064,108,6,648,0,0,0,6,0
CELLCEPT 250MG CAPSULES,100,2490589,35,23,805,12,3,105,7.67,0.41
CELLCEPT 500MG TABLETS,50,2449569,17.5,143,2502.5,40,10,175,14.3,0.25
CENTRUM ADVANCE 30s,30,3470622,2.48,25,62,47,11.75,29.14,2.13,3.76
CENTRUM KIDS GUMMIES IMMUNITY SUPPORT ORANGE,30,8849499,3,0,0,0,0,0,0,0
CENTRUM MEN 50+,30,9764200,4.75,17,80.75,22,5.5,26.12,3.09,0.83
CENTRUM WOMEN 50+,30,9764218,3.79,18,68.22,52,13,49.27,1.38,4.73
CERAVE ADVANCED REPAIR OINTMENT 50ML,50ML,8808891,6.71,15,100.65,14,3.5,23.48,4.29,0.64
CERAVE BLEMISH CONTROL CLEANSER 236ML,236ML,8747792,8.46,0,0,30,7.5,63.45,0,2.31
CERAVE BLEMISH CONTROL GEL 40ML,40ML,8747784,8.75,10,87.5,16,4,35,2.5,0.91
CERAVE BLEMISH CONTROL RESURFACING RETINOL SERUM 30ML,30ML,8747800,13.42,8,107.36,17,4.25,57.03,1.88,1.03
CERAVE FACIAL EYE REPAIR CREAM,14ML,9950205,8.46,4,33.84,19,4.75,40.18,0.84,1.41
CERAVE FACIAL MOIST LOTION SPF30,52ML,8780058,9.63,0,0,9,2.25,21.66,0,2.25
CERAVE FACIAL MOISTURISER -  NO SPF,52ML,9965047,9.63,0,0,31,7.75,74.63,0,2.21
CERAVE FACIAL MOISTURISER SPF50,52ML,8743718,9.15,0,0,34,8.5,77.77,0,2.43
CERAVE FOAMING CLEANSER FACE &amp; BODY NORMAL - OILY SKIN SML,236ML,9915968,6.93,0,0,27,6.75,46.77,0,2.08
CERAVE HYDRATING CLEANSER  FACE &amp; BODY DRY SKIN LRG,473ML,9915976,10.25,0,0,25,6.25,64.06,0,2
CERAVE HYDRATING CLEANSER FACE &amp; BODY DRY SKIN 236ML,236ML,9965054,6.93,0,0,16,4,27.72,0,2.29
CERAVE HYDRATING CLEANSER MICELLAR CLEANSING WATER,295ML,8732281,7.88,19,149.72,9,2.25,17.73,8.44,0.38
CERAVE HYDRATING CREAM TO FOAM MAKE UP REMOVER ,236ML,8708083,8.46,11,93.06,13,3.25,27.49,3.38,0.74
CERAVE HYDRATING FOAMING CLEANSER FACE &amp; BODY NORMAL - OILY SKIN 473ML,473ML,9965062,10.25,10,102.5,7,1.75,17.93,5.71,0.64
CERAVE HYDRATING FOAMING OIL FACE &amp; BODY DRY SKIN,236ML,8738015,8.04,24,192.96,13,3.25,26.13,7.38,0.43
CERAVE HYDRATING HYALURONIC ACID SERUM,30ML,8694390,13.42,24,322.08,6,1.5,20.13,16,0.22
CERAVE MOISTURISING CREAM JAR 454G,454G,9965096,10.21,0,0,17,4.25,43.39,0,2
CERAVE MOISTURISING CREAM JAR SML,340G,9915992,9.04,28,253.12,6,1.5,13.56,18.67,0.19
CERAVE MOISTURISING CREAM TUBE,177ML,9979543,6.65,20,133,24,6,39.9,3.33,0.76
CERAVE MOISTURISING CREAM TUBE SML,50ML,9916008,3.88,13,50.44,18,4.5,17.46,2.89,0.82
CERAVE MOISTURISING LOTION PUMP 236ML,236ML,9916016,6.93,38,263.34,16,4,27.72,9.5,0.35
CERAVE MOISTURISING LOTION PUMP 473ML,473ML,9965070,9.7,0,0,34,8.5,82.45,0,2.43
CERAVE MOISTURISING OIL CONTROL GEL-CREAM 52ML,52ML,8819393,9.15,5,45.75,8,2,18.3,2.5,0.89
CERAVE REPARATIVE MOISTURISING HAND CREAM,48G,9916024,4.44,17,75.48,22,5.5,24.42,3.09,0.85
CERAVE SA RENEWING FOOT CREAM 88ML,88ML,8726648,5.83,13,75.79,1,0.25,1.45,52,0.07
CERAVE SA SMOOTHING CLEANSER ,473ML,8732273,13.71,7,95.97,6,1.5,20.56,4.67,0.6
CERAVE SKIN RENEWING EYE CREAM 15ML,15ML,8842767,13.42,19,254.98,5,1.25,16.77,15.2,0.23
CERAVE SKIN RENEWING VITAMIN C SERUM 30ML,30ML,8842759,16.92,10,169.2,5,1.25,21.15,8,0.4
CERAVE SMOOTHING CLEANSER 236ML,236ML,9965120,8.46,0,0,15,3.75,31.72,0,2
CERAVE SMOOTHING CREAM 177ML,177ML,9965112,9.04,0,0,12,3,27.12,0,2
CERAVE SMOOTHING CREAM 340GR,340G,9965104,13.13,22,288.86,6,1.5,19.69,14.67,0.24
CERELLE TABLETS,84,3772423,2.19,112,245.28,1516,379,830.01,0.3,17.94
CERRUTI 1881 FEMME EDT 100ML,100ML,9731423,12.95,0,0,0,0,0,0,0
CERRUTI 1881 FEMME EDT 30ML,30ml,9897463,10.95,0,0,0,0,0,0,0
CERRUTI 1881 POUR HOMME EDT 100ML,100ml,9735606,14.79,0,0,3,0.75,11.09,0,6
CERRUTI IMAGE LADIES 75ML EDT,75ML,1024975,13.5,22,297,0,0,0,22,0
CERRUTI IMAGE MENS 100ML EDT,100ML,1024983,13.5,7,94.5,0,0,0,7,0
CERUMOL EAR DROPS 10ML (GSL),1,46441,2.43,21,51.03,42,10.5,25.51,2,1
CETIRIZINE 10MG TABLETS,30,1098615,0.24,9073,2177.52,3644,911,218.64,9.96,0.44
CETIRIZINE 1MG/ML S/F SYRUP (P),200ml,1195528,5,1603,8015,360,90,450,17.81,0.2
CETRABEN CREAM 475ML,475ML,4037180,6.62,17,112.54,12,3,19.86,5.67,0.57
CETRABEN CREAM 50ML,50ML,1027234,2.54,0,0,20,5,12.7,0,5.71
CETRABEN CREAM PUMP DISP 1050GM,1,3270550,10.6,0,0,0,0,0,0,0
CETRABEN MOISTURE PRTCT BODY WASH,200ML,8780603,3.15,0,0,0,0,0,0,0
CETRABEN MOISTURE PRTCT FACIAL CLNSR,200ML,4193066,4.04,0,0,0,0,0,0,0
CETRABEN OINTMENT 450G,450G,3935871,5.27,0,0,0,0,0,0,0
CETRAXAL EARDROP SOL 15X0.25ML,15,4063566,5.3,0,0,0,0,0,0,0
CHILDS FARM 3 IN 1 SWIM STRAWBERRY (GREEN),250ML,3946498,2.19,151,330.69,18,4.5,9.85,33.56,0.11
CHILDS FARM BABY SHAMPOO - UNFRAGRANCED,250ML,9948514,2.19,144,315.36,15,3.75,8.21,38.4,0.1
CHILDS FARM BUBBLE BATH RASPBERRY (DARKBLUE),250ML,3935798,2.19,133,291.27,19,4.75,10.4,28,0.13
CHILDS FARM BUBBLE BATH TANGERGINE SWEET ORANGE (LIGHTPINK),250ML,3935822,2.19,131,286.89,6,1.5,3.28,87.33,0.04
CHILDS FARM CONDITIONER STRAWBERRY (PINK),250ML,9833187,2.19,65,142.35,3,0.75,1.64,86.67,0.05
CHILDS FARM HAIR &amp; BODY WASH BLACKBERRY (PURPLE),250ML,4012357,2.19,159,348.21,18,4.5,9.85,35.33,0.11
CHILDS FARM HAIR &amp; BODY WASH ORANGE (RED),250ML,9833195,2.19,145,317.55,18,4.5,9.85,32.22,0.12
CHILDS FARM NAPPY CREAM  - ALOE VERA***,100ML,9902628,2.41,0,0,0,0,0,0,0
CHILDS FARM NAPPY CREAM - FRAGRANCE FREE,100ML,8847774,2.41,116,279.56,1,0.25,0.6,464,0.01
CHILDS FARM SHAMPOO STRAWBERRY (AQUABLUE),250ML,9833161,2.19,149,326.31,6,1.5,3.28,99.33,0.04
CHILDS FARM SUN CREAM SPF50+,100ML,9913898,5.25,18,94.5,27,6.75,35.43,2.67,0.86
CHILDS FARM SUN LOTION ROLL ON SPF50,ML,9913906,4.37,0,0,0,0,0,0,0
CHILDS FARM SUN SPRAY SPF50+,100ML,9913880,5.25,29,152.25,18,4.5,23.62,6.44,0.47
CHLOE EAU DE PARFUM NATURELLE 100ML,100ml,8724841,53.22,4,212.88,0,0,0,4,0
CHLOE EAU DE PARFUM NATURELLE 30ML,30ML,8724825,30.71,13,399.23,0,0,0,13,0
CHLOE EAU DE PARFUM NATURELLE 50ML,50ML,8724833,43.37,11,477.07,4,1,43.37,11,0.38
CHLOE EDP 75ML,75ml,9909185,52.48,0,0,1,0.25,13.12,0,2
CHLOE EDT 75ML,75ml,9752726,41.88,0,0,2,0.5,20.94,0,2
CHLOE LOVE STORY 75ML EDT*,75ml,9774365,38.23,3,114.69,0,0,0,3,0
CHLOE NOMADE ABSOLUTE EDP 30ML ,30ML,9941949,32.03,1,32.03,0,0,0,1,0
CHLOE NOMADE ABSOLUTE EDP 50ML ,50ML,9941956,46.9,8,375.2,0,0,0,8,0
CHLOE NOMADE ABSOLUTE EDP 75ML ,75ML,9941964,55.8,6,334.8,0,0,0,6,0
CHLOE NOMADE EDP 30ML ,30ML,9869546,35.65,5,178.25,0,0,0,5,0
CHLOE NOMADE EDP 50ML ,50ML,9869553,50.63,0,0,0,0,0,0,0
CHLOE NOMADE EDP 75ML ,75ML,9869561,61.48,0,0,1,0.25,15.37,0,2
CHLOE NOMADE NATURELLE EDP 75ML,75ML,8736043,48.57,2,97.14,0,0,0,2,0
CHLOE NOMADE NATURELLE INTENSE EDP 30ML,30ML,8769697,36.68,1,36.68,0,0,0,1,0
CHLOE NOMADE NATURELLE INTENSE EDP 50ML,50ML,8769705,47.53,1,47.53,0,0,0,1,0
CHLOE NOMADE NUIT DEGYPTE 30ML EDP,30ML,8806994,35.13,3,105.39,0,0,0,3,0
CHLOE NOMADE NUIT DEGYPTE 50ML EDP,50ML,8807000,49.08,1,49.08,0,0,0,1,0
CHLOE NOMADE NUIT DEGYPTE 75ML EDP,75ML,8807018,59.42,1,59.42,0,0,0,1,0
CHLOE NOMADE NUIT FLUER DEGYPTE 30ML EDP,30ML,8835746,35.65,2,71.3,0,0,0,2,0
CHLOE NOMADE NUIT FLUER DEGYPTE 50ML EDP,50ML,8835753,50.63,1,50.63,0,0,0,1,0
CHLOE NOMADE NUIT FLUER DEGYPTE 75ML EDP,75ML,8835761,61.48,1,61.48,0,0,0,1,0
CHLOE NOMADE SHOWER GEL 200ML,200ML,9869587,18.43,2,36.86,0,0,0,2,0
CHLOE SIGNATURE EAU DE PARFUM 100ML EDP ,100ML,8748261,66.65,0,0,0,0,0,0,0
CHLOE SIGNATURE EAU DE PARFUM 150ML EDP REFILL,150ML,8748279,66.65,5,333.25,0,0,0,5,0
CHLOE SIGNATURE EAU DE PARFUM 30ML,30ML,9496324,35.65,1,35.65,1,0.25,8.91,4,0.67
CHLOE SIGNATURE EAU DE PARFUM 50ML,50ML,9496332,50.63,0,0,0,0,0,0,0
CHLOE SIGNATURE EDT 50ML,50ML,9979378,40.3,2,80.6,0,0,0,2,0
CHLOE SIGNATURE LE PARFUM EDP 100ML,100ML,8849267,80.71,0,0,0,0,0,0,0
CHLOE SIGNATURE LE PARFUM EDP 150ML REFILL,150ML,8849275,80.71,0,0,0,0,0,0,0
CHLOE SIGNATURE LE PARFUM EDP 30ML,30ML,8849242,41.17,0,0,0,0,0,0,0
CHLOE SIGNATURE LE PARFUM EDP 50ML,50ML,8849259,58.5,0,0,0,0,0,0,0
CHLOE SIGNATURE LEAU DE PARFUM INTENSE 100ML EDP REFILLABLE,100ML,8818866,69.75,0,0,0,0,0,0,0
CHLOE SIGNATURE LEAU DE PARFUM INTENSE 30ML EDP,30ML,8818841,38.75,4,155,0,0,0,4,0
CHLOE SIGNATURE LEAU DE PARFUM INTENSE 50ML EDP,50ML,8818858,53.22,4,212.88,0,0,0,4,0
CHLOE SIGNATURE LUMINEUSE EDP 100ML,100ML,8789158,69.75,1,69.75,0,0,0,1,0
CHLOE SIGNATURE LUMINEUSE EDP 30ML,30ML,8789133,36.68,5,183.4,0,0,0,5,0
CHLOE SIGNATURE LUMINEUSE EDP 50ML,50ML,8789141,50.63,3,151.89,0,0,0,3,0
