Product Name,Pack,Code,Trade,Stock Level,Stock Value,Supplied Qty,Avg Supplied Qty Per Week,Avg Supplied Value Per Week,Weeks of Stock (supplied),Supplied Inventory Ratio
ACQUA DI GIO RENO PARFUM 100ML,100ML,8812851,57.29,0,0,0,0,0,0,0
ACQUA DI GIO RENO PARFUM 50ML,50ML,8812844,44.27,3,132.81,0,0,0,3,0
ACQUA DI GIO RENO PARFUM REFILL 150ML,150ML,8812885,65.1,5,325.5,0,0,0,5,0
ACQUA DI GIO RENO PROFONDO EDP 100ML,100ML,8812877,52.08,2,104.16,0,0,0,2,0
ACQUA DI GIO RENO PROFONDO EDP 50ML,50ML,8812869,39.06,2,78.12,0,0,0,2,0
ACQUA DI GIOIA FEMME 30ML(C),30ML,9562091,34.9,1,34.9,0,0,0,1,0
ACQUA DI GIOIA FEMME 50ML,50ML,9561515,49.48,2,98.96,2,0.5,24.74,4,1
ACRIFLEX BURN CREAM 30G,30G,101741,2.16,30,64.8,83,20.75,44.82,1.45,2.18
ACTICO COHESIVE SHORT STR BAND 12CM,1,3140894,0.91,0,0,0,0,0,0,0
ACTICO SHRT STRCH BAN 8X6,1,3140886,0.69,0,0,0,0,0,0,0
ACTICO SHRT STRCH BAND 10CM X 6M,1,2715431,0.71,0,0,0,0,0,0,0
ACTIFED MULTI-ACTION DRY COUGHS(P),100ML,239905,3.53,115,405.95,6,1.5,5.29,76.67,0.05
ACTIFED MULTI-ACTION TABLETS (P),12,146886,3.2,136,435.2,224,56,179.2,2.43,0.9
ACTIFORM COOL DRSS 10CM X 10CM,5,3048352,0.57,0,0,0,0,0,0,0
ACTIFREEZE WART &amp; VERRUCA REMOVER,38ML,3491198,7.29,7,51.03,21,5.25,38.27,1.33,1.2
ACTILITE IMPREG DRESS HNNY/MNKA OIL 10x10cm,10,3354917,2.54,0,0,0,0,0,0,0
ACTIVHEAL FM ISLAND 10CMX10CM,10,3043767,13.87,0,0,0,0,0,0,0
ACTIVHEAL FM ISLAND 12.5CMX12.5CM,10,3170495,14.44,0,0,0,0,0,0,0
ACTIVHEAL FM ISLAND 7.5CMX7.5CM,10,3583390,10,0,0,0,0,0,0,0
ACTIVON MANUKA HNY TUBE,25GM,3193729,2.43,200,486,0,0,0,200,0
ACTONEL 35MG TABLETS,4,2923449,11.53,0,0,0,0,0,0,0
ADALAT LA 20 TABLETS,28,2601417,5.03,0,0,0,0,0,0,0
ADALAT LA 30MG TABLETS,28,826685,4.4,12,52.8,0,0,0,12,0
ADAPALENE (DIFFERIN) CREAM 45G,1,2905784,9.4,43,404.2,10,2.5,25,17.2,0.33
ADAPALENE (DIFFERIN) GEL 45G,1,2905776,9,29,261,21,5.25,47.25,5.52,1.45
ADGH EDP REFILLABLE 125ML MV,125ML,8740979,51.04,1,51.04,1,0.25,12.76,4,1
ADGH EDP REFILLABLE 150ML MV,150ML,8740987,55.21,2,110.42,0,0,0,2,0
ADGH EDP REFILLABLE 75ML MV,75ML,8740961,42.71,5,213.55,0,0,0,5,0
