Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
A VOGEL PASSIFLORA,50ML,9967514,7610313404216,37,37,Green,FALSE,ARJ-63
A VOGEL PHYTOESTROGEN PMS TABS,60,8844672,7610313303502,18,72,Green,FALSE,AQV-71
A VOGEL PMS RELIEF AGNUS CASTUS 50ML ,50ML,9863606,7610313304547,16,16,Green,FALSE,ASP-63
A VOGEL POLLINOSAN  (ALLERGY) TABS,120,9487984,7610313606924,10,10,Green,FALSE,AQU-72
A VOGEL PROSTASAN CAPSULES,30S,9487992,7610313405305,14,18.67,Green,FALSE,ART-51
A VOGEL SLEEPWELL,14,8833287,7610313404704,28,37.33,Green,FALSE,ARV-73
A&amp;F AUTHENTIC FOR WOMEN 100ML,100ML,9917626,85715166517,1,1,Green,FALSE,BAK3
A&amp;F AUTHENTIC FOR WOMEN 50ML,50ML,9917618,85715166524,1,1,Green,FALSE,BAJ3
A.SOLAIRE AFTERSUN HYDRATE TAN MAINTAINER,200ML,485714,3600540659279,85,56.67,Green,TRUE,BBG-04
A.SOLAIRE AFTERSUN HYDRATING LOTION SOOTHER 400ML,400ML,8815102,3600540305381,0,0,Red,TRUE,BBJ-03
A.SOLAIRE AFTERSUN SKIN SOOTHER,200ML,395129,3600540305305,14,4.67,Green,TRUE,BBE-06
A.SOLAIRE ANTI-AGE SUPER UV FACE PROTECTION CREAM SPF50,50ML,8736431,3600542397704,14,7,Green,TRUE,BBK-02
A.SOLAIRE BABY SENSTIVE ADVANCE HYPOALLERGENIC SUN CREAM SPF50+ ULTRA ,50ML,9706987,3600541436190,40,5.33,Green,TRUE,BBN-03
A.SOLAIRE DRY MIST SPRAY SPF30,200ML,9706953,3600541442108,0,0,Red,TRUE,BBO-02
A.SOLAIRE HYDRA 24HR PROTECT SPF50+ LOTION + VITAMIN C,175ML,8793937,3600541624245,22,3.14,Green,TRUE,BBD-03
A.SOLAIRE INVISIBLE PROTECT  IDEAL BRONZE SPRAY SPF30 ,150ML,8787772,3600542449878,4,0.8,Amber,TRUE,BBO-02
A.SOLAIRE INVISIBLE PROTECT CLEAR FINISH SPF30 SPRAY,150ML,8847766,3600542624794,14,2.8,Green,FALSE,BBJ-05
A.SOLAIRE INVISIBLE PROTECT SPF30 WITH ALOE VERA,150ML,8846594,3600542627962,28,14,Green,FALSE,BBQ-06
A.SOLAIRE INVISIBLE PROTECTION GLOW SPRAY SPF30 150ML,150ML,8736464,3600542444262,0,0,Red,TRUE,BBJ-04
A.SOLAIRE KIDS ANTISAND PROTECTION MIST SPRAY SPF50,200ML,9783721,3600541889651,2,0.2,Amber,TRUE,BBB-01
A.SOLAIRE KIDS MILK SPF50+***,200ML,9465055,3600540305008,1,2,Green,FALSE,BBP-03
A.SOLAIRE KIDS SUN CREAM SPF50 150ML - NEMO EDITION ,150ML,8736456,3600542444347,44,8,Green,FALSE,BBJ-02
A.SOLAIRE MILK SENSITIVE KIDS SPF50+ TUBE,175ML,9737586,3600541309661,52,8.67,Green,TRUE,BBP-03
A.SOLAIRE MILK ULTRA-HYDRATING SUN CREAM + VITAMIN C SPF30 200ML,175ML,9407271,3600540304520,9,1.16,Green,TRUE,BBC-04
A.SOLAIRE NATURAL BRONZER SELF TAN INTENSE CLEAR MOUSSE,200ML,8780025,3600542298278,74,74,Green,FALSE,AHV-G7
A.SOLAIRE NEW HYDRA 24H PROTECT MILK - SPF20 + VITAMIN C ,175ML,8847758,3600542624893,50,100,Green,FALSE,BBK-05
A.SOLAIRE NEW INVISIBLE PROTECT REFRESH SPF50 ,200ML,8780199,3600542452595,0,0,Red,TRUE,BBN-04
A.SOLAIRE SENSITIVE ADVANCED INVISIBLE PROTECT MIST SPF50+ ,150ML,8846602,3600542512961,0,0,Red,FALSE,BBQ-03
A.SOLAIRE SENSITIVE ADVANCED PROTECTION LOTION SPF50+,50ML,8780207,3600541309784,8,2.67,Green,TRUE,BBM-04
A.SOLAIRE ULTRA-HYDRATING SUN CREAM SPF20 - 200ML,200ML,145599,3600540304513,0,0,Red,TRUE,BBB-03
AA (A) CK ONE EDP 50ML &amp; SHOWERGEL 2PC SET (P24)***,SET,8820714,3616305433800,0,0,Red,FALSE,BAZL3
AA (A) CK ONE EDT 50ML &amp; SHOWERGEL 2PC SET (P24)***,SET,8820706,3616305433640,0,0,Red,FALSE,BAZJ5
AA ADIDAS GET COMFY 100ML EDP + 100ML SHOWERGEL (P24),2PCE,8823155,3616305827234,2,8,Green,FALSE,BAZG4
AA ALIEN BASIC 30ML EDP  3 PC SET (P22),SET,8705014,3614273887854,0,0,Red,FALSE,
AA ARIANA GRANDE CLOUD 30ML EDP + 10ML PS (P24),2PCE,8822587,810101503993,0,0,Red,FALSE,BAZN5
AA ARIANA GRANDE CLOUD 50ML EDP + 7.5ML TS (P24),2PCE,8822595,810101504051,0,0,Red,FALSE,BAZN4
AA Ariana Grande REM 50ml Gift Set 21,50ML,8711707,5050456003969,0,0,Red,FALSE,BAZN4
AA ARIANA GRANDE SWEET LIKE CANDY 30ML EDP + 10ML PS (P24),2PCE,8822629,810101504006,0,0,Red,FALSE,BAZJ3
AA ARIANA GRANDE THANK U NEXT 30ML EDP + 10ML PS (P24),2PCE,8822611,810101503986,0,0,Red,FALSE,BAZH3
AA ARIANA GRANDE TRIO CRACKER MINIS 7.5ML (P24),3X7.5ML,8822603,810101502637,11,11,Green,FALSE,BAZN3
